feature,mean_abs_shap,mean_shap,pos_share,neg_share
num__网下发行有效申购倍数,0.1075262347370543,-0.007716784022362996,0.45614035087719296,0.543859649122807
num__网上发行有效认购倍数,0.05466622021869545,-0.03176051330546391,0.23684210526315788,0.7631578947368421
num__市盈率PE,0.04856428314076494,-0.017444001986280128,0.4649122807017544,0.5350877192982456
num__市净率PB,0.03634269990805203,-0.007438761223667558,0.5,0.5
num__Industry_Score,0.030846602052406386,-0.026833544447590514,0.19298245614035087,0.8070175438596491
num__MM恐惧与贪婪指数,0.025203789534795514,-0.016018138355871143,0.3157894736842105,0.6842105263157895
num__AH_dummy,0.013791184151234603,-0.0034882389036300556,0.9122807017543859,0.08771929824561403
