feature,mean_abs_shap
num__网下发行有效申购倍数,0.1075262347370543
num__网上发行有效认购倍数,0.05466622021869545
num__市盈率PE,0.04856428314076494
num__市净率PB,0.03634269990805203
num__Industry_Score,0.030846602052406386
num__MM恐惧与贪婪指数,0.025203789534795514
num__AH_dummy,0.013791184151234603
