feature,mean_abs_shap
num__网上发行有效认购倍数,0.6818153068823694
num__市盈率PE,0.5387626423921489
num__市净率PB,0.14869436906739705
num__Industry_Score,0.14717795022204513
num__MM恐惧与贪婪指数,0.10961310681453997
num__网下发行有效申购倍数,0.1066870451116476
num__AH_dummy,0.019233284316480165
