feature,mean_abs_shap,mean_shap,pos_share,neg_share
num__网上发行有效认购倍数,0.6818153068823694,0.022447329666837216,0.5175438596491229,0.4824561403508772
num__市盈率PE,0.5387626423921489,0.06570936212230406,0.6228070175438597,0.37719298245614036
num__市净率PB,0.14869436906739705,-0.037667500069671345,0.543859649122807,0.45614035087719296
num__Industry_Score,0.14717795022204513,-0.021110246362119403,0.45614035087719296,0.543859649122807
num__MM恐惧与贪婪指数,0.10961310681453997,-0.011290212158838587,0.5263157894736842,0.47368421052631576
num__网下发行有效申购倍数,0.1066870451116476,-0.030862984416375482,0.4473684210526316,0.5526315789473685
num__AH_dummy,0.019233284316480165,-0.002122363557272445,0.9122807017543859,0.08771929824561403
