target,rmse,mae,r2,auc,rmse_std,mae_std,r2_std,auc_std
MarginStress,,,,0.6622161858146463,,,,0.03529073462107497
Return,36.019507622135606,23.459845588189797,0.32673693403772275,,3.9756839648372098,2.2176094572972205,0.10875064297353455,
Volume,1.2596713584065775,0.9822040434557575,0.40535542192051627,,0.06642534981250714,0.04846786699641819,0.09102163656547077,
