杠杆区间(r),样本数,触发数,概率
"[0.00,0.30)",224,172,0.7678571428571429
"[0.30,0.40)",179,28,0.1564245810055866
"[0.40,0.50)",145,3,0.020689655172413793
"[0.50,0.60)",22,0,0.0
