杠杆区间(r),样本数,均值,P50,P75,P90,最差
"[0.00,0.30)",223,-0.22952315467533946,-0.20454545454545459,-0.12418632368927712,-0.03628259041211092,-0.72
"[0.30,0.40)",176,-0.10309371903963022,-0.07048614839471701,-0.022889858233369725,-0.00167463989341049,-0.4631578947368421
"[0.40,0.50)",144,-0.07269198651752062,-0.05663265306122445,-0.01641390251357211,0.0,-0.36184210526315796
"[0.50,0.60)",22,-0.06135757502304803,-0.03502890655156682,-0.013987391646966163,-0.002977465957005634,-0.24
