杠杆区间(r),样本数,均值,P50,P75,P90,最差
"[0.00,0.30)",223,-0.1657480949830245,-0.1499999999999999,-0.10402312138728326,-0.018168937329700235,-0.5928571428571429
"[0.30,0.40)",176,-0.058633542995799655,-0.04530791788856303,-0.013917004048582982,0.0,-0.3163265306122448
"[0.40,0.50)",144,-0.03733403319954444,-0.028782274241336725,-0.00693885448916412,0.0,-0.1992187500000001
"[0.50,0.60)",22,-0.027434617016843556,-0.019836887612783904,-0.010517241379310316,-0.00025575447570332376,-0.08485639686684077
