杠杆区间(r),样本数,均值,P50,P75,P90,最差
"[0.00,0.30)",223,-0.25331135199944316,-0.23863636363636365,-0.13485145463214016,-0.049370101954158016,-0.81
"[0.30,0.40)",176,-0.12372889082966143,-0.0873788615386587,-0.03478348035284681,-0.005728540881783983,-0.47959183673469385
"[0.40,0.50)",144,-0.089502252421625,-0.07135228782988423,-0.019233110164333544,0.0,-0.36184210526315796
"[0.50,0.60)",22,-0.07187507110930472,-0.03502890655156682,-0.013987391646966163,-0.002977465957005634,-0.2952380952380953
