杠杆区间(r),样本数,均值,P50,P75,P90,最差
"[0.00,0.30)",223,-0.2689211369149021,-0.24351585014409227,-0.1437481840193705,-0.052089792502222135,-0.8533333333333333
"[0.30,0.40)",176,-0.13876572208063748,-0.102177473226022,-0.04274921870861803,-0.007203950717849517,-0.6224489795918368
"[0.40,0.50)",144,-0.10128777384981534,-0.07283184039087942,-0.02022915772915776,-0.0008021390374331127,-0.36184210526315796
"[0.50,0.60)",22,-0.07874970931090604,-0.049298366689671136,-0.013987391646966163,-0.002977465957005634,-0.2952380952380953
